"Section";"Article";"Contenu"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.1";", r. 4
Code de sécurité pour les travaux de construction
S
A
N
T
É
E
T
S
É
C
U
R
I
T
É
D
U
T
R
A
V
A
I
L
—
C
O
N
S
T
R
U
C
T
I
O
N
—
C
O
D
E
D
E
S
É
C
U
R
I
T
ÉLoi sur la santé et la sécurité du travail
(chapitre S-"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.1";", a. 223).
S
-
2
.
10
11
e
r
0
9s
e
p
t
e
m
b
r
e
2
0
1
2TABLE DES MATIÈRES
SECTION I
DÉFINITIONS...................................................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 1.1";"SECTION II
DISPOSITIONS GÉNÉRALES
Champ d’application.............................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.1";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.1.1";"Responsabilité et pouvoirs des inspecteurs............................................"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.2";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.2.1";"Équivalences..........................................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.3";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.3.1";"Obligations générales............................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.4";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.4.1";"Sécurité du public..................................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.7";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.7.1";"Contrôle de la circulation sur un chantier de construction..................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.8";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.8.1";"Protection contre les chutes..................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.9";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.9.1";"Équipement de protection individuelle................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.10";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.10.1";"Électricité............................................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.11";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.11.1";"Précautions pendant la construction ou la démolition........................"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.12";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.12.1";"Éléments d’étaiement..........................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.13";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.13.1";"Bâtiments endommagés........................................................................"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.14";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.14.1";"Appareils de levage.............................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.15";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.15.0.1";"Pieux, palplanches................................................................................"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.16";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.16.1";"Transport des travailleurs...................................................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.18";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.18.1";"Méthode et technique de travail interdites..........................................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.19";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.19.1";"Cadenassage et autres méthodes de contrôle des énergies.................."
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.20";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.20.1";"Bruit......................................................................................................"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.21";". —"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.21.1";"© Éditeur officiel du Québec À jour au 0
1
1er 0
4
avril 2025
Ce document a valeur officielle.
À jour au 0
11er 0
4avril 2025
© Éditeur officiel du Québec S-"
"SECTION I
DÉFINITIONS.................................................................................................... 1.1";"Art. 2.1";", r. 4 / 1 sur 222"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.1";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.1.1";"Tenue des lieux......................................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.2";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.2.1";"Ouvrages temporaires............................................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.3";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.3.1";"Protection contre l’incendie..................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.4";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.4.1";"Échelles et escabeaux............................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.5";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.5.1";"Escaliers................................................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.6";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.6.1";"Rampes, passerelles et plates-formes provisoires.................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.7";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.7.1";"Garde-corps............................................................................................"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.8";". —"
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.8.1";"Échafaudages........................................................................................."
"SECTION III
CHANTIERS DE CONSTRUCTION";"Art. 3.9";". —"
